,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_intercept,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
24,0.005247974395751953,0.0011707109380193054,0.0007687568664550781,0.00019606327462588525,False,8.483428982440717,"{'fit_intercept': False, 'C': 8.483428982440717}",0.8333333333333334,0.75,0.6785714285714286,0.7857142857142856,0.5833333333333334,0.7261904761904762,0.08748177652797061,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
25,0.006598949432373047,0.000765263846251269,0.000968170166015625,5.404637352555292e-05,False,13.894954943731374,"{'fit_intercept': False, 'C': 13.894954943731374}",0.8333333333333334,0.6785714285714286,0.6785714285714286,0.7857142857142856,0.5833333333333334,0.7119047619047619,0.08825596663262206,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
26,0.004313611984252929,0.00038991527534789353,0.0006235599517822266,5.004532622960637e-05,False,22.758459260747887,"{'fit_intercept': False, 'C': 22.758459260747887}",0.7333333333333334,0.7142857142857142,0.6785714285714286,0.8214285714285714,0.5416666666666667,0.697857142857143,0.09117648779941918,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
27,0.004271173477172851,0.0007997617753848611,0.0006457805633544922,9.496503813979638e-05,False,61.054022965853264,"{'fit_intercept': False, 'C': 61.054022965853264}",0.7333333333333334,0.7142857142857142,0.6785714285714286,0.8214285714285714,0.5416666666666667,0.697857142857143,0.09117648779941918,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
28,0.004827260971069336,0.001645222927878797,0.0006449222564697266,0.00012807947259249004,False,100.0,"{'fit_intercept': False, 'C': 100.0}",0.7333333333333334,0.7142857142857142,0.6785714285714286,0.8214285714285714,0.5416666666666667,0.697857142857143,0.09117648779941918,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
29,0.005579185485839844,0.001383797982640749,0.0007782459259033203,0.00017061133568323288,False,37.27593720314938,"{'fit_intercept': False, 'C': 37.27593720314938}",0.7000000000000001,0.7142857142857142,0.6785714285714286,0.8214285714285714,0.5416666666666667,0.6911904761904761,0.08954280446914503,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
30,0.0007644176483154296,0.000202787547197165,0.0007266521453857422,0.00016683150929560763,True,0.1,"{'fit_intercept': True, 'C': 0.1}",0.8888888888888888,0.8888888888888888,0.9583333333333334,0.7083333333333334,0.8125,0.851388888888889,0.08511974136691422,1,0.990909090909091,0.9818181818181819,0.9803921568627451,0.9934640522875817,1.0,0.9893166963755199,0.0073449899091337055,Cheesy
31,0.0006207466125488281,0.00013448165595045,0.0006530284881591797,0.00015217255153367087,False,0.1,"{'fit_intercept': False, 'C': 0.1}",0.8888888888888888,0.8888888888888888,0.9583333333333334,0.7083333333333334,0.8125,0.851388888888889,0.08511974136691422,1,0.990909090909091,0.9787878787878788,0.9836601307189542,0.9901960784313726,1.0,0.9887106357694593,0.007189689798778519,Cheesy
32,0.0009078502655029297,0.00018876593722452962,0.0007755756378173828,0.00010811476850929354,True,0.16378937069540642,"{'fit_intercept': True, 'C': 0.16378937069540642}",0.8888888888888888,0.9444444444444444,0.9583333333333334,0.6666666666666666,0.75,0.8416666666666666,0.11439589045541111,3,0.9848484848484849,0.996969696969697,1.0,1.0,1.0,0.9963636363636365,0.005875975584747061,Cheesy
33,0.0006225109100341797,0.00013950808040007694,0.0006011009216308593,0.00013049512871493528,False,0.16378937069540642,"{'fit_intercept': False, 'C': 0.16378937069540642}",0.8333333333333334,0.9444444444444444,0.7916666666666666,0.7083333333333334,0.75,0.8055555555555556,0.08098544298396249,4,0.9848484848484849,0.9878787878787879,0.9934640522875817,0.9934640522875817,1.0,0.9919310754604872,0.005222867096742695,Cheesy
