,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
46,0.0019118309020996094,0.0004151059425073901,0.0008049964904785156,8.501654846055017e-05,0.9,0.16378937069540642,"{'l1_ratio': 0.9, 'C': 0.16378937069540642}",0.8,1.0,1.0,0.6785714285714286,0.625,0.8207142857142857,0.1569869356321846,47,0.9699074074074074,0.9434389140271494,0.9298642533936652,0.9728506787330315,0.9150326797385621,0.9462187866599633,0.022441836571163182,Fermented
47,0.0021144866943359373,0.0003512028001207239,0.0008779525756835938,0.0001433343150992618,1.0,0.16378937069540642,"{'l1_ratio': 1.0, 'C': 0.16378937069540642}",0.8,1.0,1.0,0.6785714285714286,0.625,0.8207142857142857,0.1569869356321846,47,0.962962962962963,0.9479638009049774,0.9298642533936652,0.9705882352941176,0.917211328976035,0.9457181163063517,0.01992452030610696,Fermented
48,0.002888011932373047,0.0005263436982119163,0.0009126663208007812,0.00012749710777749143,0.75,0.2682695795279726,"{'l1_ratio': 0.75, 'C': 0.2682695795279726}",0.8,1.0,0.8571428571428572,0.7142857142857143,0.7083333333333334,0.815952380952381,0.10746406877229944,49,0.9814814814814815,0.9751131221719458,0.9773755656108597,0.9819004524886878,0.9368191721132898,0.970537958773253,0.017049976621153155,Fermented
49,0.0018401622772216796,0.00030600745155624597,0.0007662296295166016,0.00012907026225219954,0.8,0.16378937069540642,"{'l1_ratio': 0.8, 'C': 0.16378937069540642}",0.8,1.0,0.9642857142857143,0.6785714285714286,0.625,0.8135714285714286,0.14929084065019133,50,0.9675925925925926,0.9434389140271494,0.9343891402714931,0.9728506787330318,0.9128540305010893,0.9462250712250713,0.02203166919246251,Fermented
50,0.001701021194458008,0.000311106139586328,0.0007326602935791016,0.00016865548959824514,0.35000000000000003,0.16378937069540642,"{'l1_ratio': 0.35000000000000003, 'C': 0.16378937069540642}",0.9444444444444444,1.0,1.0,0.75,0.9375,0.9263888888888889,0.0920865803013932,1,0.996969696969697,0.9818181818181819,0.9771241830065359,0.9967320261437909,0.9941176470588236,0.9893523469994058,0.008264180650430374,Cheesy
51,0.002095317840576172,0.00021873584390448133,0.0008835315704345704,0.00013877816092678404,0.25,0.1,"{'l1_ratio': 0.25, 'C': 0.1}",0.9444444444444444,1.0,1.0,0.75,0.9375,0.9263888888888889,0.0920865803013932,1,0.996969696969697,0.9787878787878788,0.9673202614379085,0.9967320261437909,0.9911764705882353,0.9861972667855021,0.011515721763849282,Cheesy
52,0.0020804405212402344,0.00024365660251840165,0.0010566234588623047,0.00013935751746499715,0.35000000000000003,0.1,"{'l1_ratio': 0.35000000000000003, 'C': 0.1}",0.8888888888888888,0.9444444444444444,1.0,0.75,1.0,0.9166666666666666,0.09296222517045283,3,0.9878787878787879,0.9666666666666667,0.9542483660130718,0.9967320261437909,0.9852941176470588,0.9781639928698752,0.015454018887276417,Cheesy
53,0.002646017074584961,0.0002720566147184546,0.000842142105102539,7.119969198264873e-05,0.55,0.2682695795279726,"{'l1_ratio': 0.55, 'C': 0.2682695795279726}",0.9444444444444444,0.9444444444444444,1.0,0.75,0.9375,0.9152777777777779,0.08566191080616263,4,0.993939393939394,0.993939393939394,0.9934640522875817,1.0,0.9970588235294118,0.9956803327391563,0.0025113102935436396,Cheesy
54,0.0026064395904541017,0.0003868075399845635,0.0010180950164794921,0.00024088633380789937,0.1,0.16378937069540642,"{'l1_ratio': 0.1, 'C': 0.16378937069540642}",0.9444444444444444,1.0,1.0,0.75,0.8125,0.9013888888888889,0.10209986638605059,5,0.993939393939394,1.0,0.9967320261437909,1.0,0.9941176470588236,0.9969578134284017,0.0026735062890976013,Cheesy
55,0.004230642318725586,0.0019362450115716974,0.0009962558746337891,9.4520575852609e-05,0.75,0.16378937069540642,"{'l1_ratio': 0.75, 'C': 0.16378937069540642}",0.8333333333333334,0.8888888888888888,1.0,0.75,1.0,0.8944444444444445,0.09686442096757052,6,0.9878787878787879,0.9515151515151515,0.9444444444444444,0.9934640522875817,0.9764705882352941,0.970754604872252,0.019514149833259706,Cheesy
